Plant name,Moisture level,Plant height,Light conditions,Soil type,Care advice
Alderleaf Buckthorn,Moist,Max 1.5m,Partial sun,Sandy,"Water regularly, keeping the soil consistently moist but not waterlogged. Allow the top inch of soil to dry out between waterings."
Allegheny Serviceberry,Dry,Any,Full sun,Sandy,"Water deeply and regularly, especially during hot, dry periods. Allow the soil to dry slightly between waterings."
Alternate-Leaved Dogwood,Moist,Any,Partial sun,Sandy,"Keep the soil consistently moist, especially during the plant's establishment period. Water deeply when the top inch of soil feels dry."
American Beech,Dry,Any,Full sun,Sandy,"Water deeply and infrequently, allowing the soil to dry out slightly between waterings. Avoid overwatering, as beech trees are susceptible to root rot."
American Bittersweet,Normal,Max 3m,Full sun,Sandy,"Water regularly, especially during the plant's active growth period. Allow the soil to dry slightly between waterings, but do not let it dry out completely."
American Bugleweed,Moist,Max 1.5m,Full sun,Loamy,"Keep the soil consistently moist, watering whenever the top inch of soil feels dry. Provide regular irrigation during dry spells."
American Green Alder,Dry,Any,Full sun,Sandy,"Water deeply and regularly, especially during hot, dry weather. Allow the soil to dry slightly between waterings, but do not let it dry out completely."
American Hazelnut,Dry,Max 3m,Full sun,Sandy,"Water deeply and regularly, especially during the plant's establishment period. Once established, water whenever the top inch of soil feels dry."
American Mountain Ash,Dry,Any,Full sun,Sandy,"Water deeply and regularly, especially during hot, dry periods. Allow the soil to dry slightly between waterings to prevent waterlogging."
American Spikenard,Normal,Max 1.5m,Partial sun,Loamy,"Keep the soil consistently moist, watering whenever the top inch of soil feels dry. Provide regular irrigation during dry spells, especially in partial shade locations."
American Sycamore,Normal,Any,Full sun,Sandy,"Water deeply and regularly, especially during periods of drought. Keep the soil consistently moist but not waterlogged. Mulching can help retain soil moisture."
Arbutus,Dry,Any,Full sun,Sandy,"Water regularly, especially during the plant's active growth period. Allow the soil to dry slightly between waterings, but do not let it dry out completely."
Baldhip Rose,Normal,Max 2m,Full sun,Sandy,"Water deeply and regularly, especially during the plant's establishment period. Once established, water whenever the top inch of soil feels dry."
Balsam Fir,Normal,Any,Full sun,Sandy,"Water regularly, especially during dry spells. Keep the soil consistently moist but not waterlogged. Mulching can help retain soil moisture."
Balsam Poplar,Normal,Any,Full sun,Sandy,"Water deeply and regularly, especially during hot, dry periods. Allow the soil to dry slightly between waterings, but do not let it dry out completely."
Basswood,Dry,Any,Full sun,Loamy,"Water deeply and regularly, especially during periods of drought. Keep the soil consistently moist but not waterlogged. Mulching can help retain soil moisture."
Beaked Hazel,Dry,Any,Partial sun,Sandy,"Water deeply and regularly, especially during the plant's establishment period. Once established, water whenever the top inch of soil feels dry."
Bearberry,Dry,Max 1.5m,Full sun,Sandy,"Water regularly, especially during periods of drought. Keep the soil consistently moist but not waterlogged. Mulching can help retain soil moisture."
Bebb Willow,Normal,Any,Full sun,Sandy,"Water deeply and regularly, especially during hot, dry periods. Allow the soil to dry slightly between waterings, but do not let it dry out completely."
Big bluestem or Turkey foot,Dry,Max 2m,Full sun,Sandy,"Water deeply and infrequently, allowing the soil to dry out slightly between waterings. Avoid overwatering, as these grasses are drought-tolerant once established."
Big-leaf Maple,Normal,Over 3m,Full sun,Sandy,"Big-leaf maples prefer consistently moist soil, especially during their active growth periods. Water deeply and regularly, ensuring the soil does not dry out completely between waterings."
Big-leaf Maple,Normal,Any,Full sun,Sandy,"Big-leaf maples prefer consistently moist soil, especially during their active growth periods. Water deeply and regularly, ensuring the soil does not dry out completely between waterings."
Bitter Cherry,Dry,Any,Full sun,Sandy,"Bitter cherries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Bitternut hickory,Dry,Any,Full sun,Loamy,"Bitternut hickories prefer well-draining soil that is kept consistently moist but not waterlogged. Water deeply and regularly, especially during dry spells."
Black Ash,Moist,Any,Full sun,Sandy,"Black ashes prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Cherry,Normal,Any,Full sun,Sandy,"Black cherries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black Chokeberry,Dry,Max 3m,Full sun,Sandy,"Black chokeberries prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Elderberry,Dry,Any,Full sun,Sandy,"Black elderberries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black Hawthorn,Dry,Any,Full sun,Sandy,"Black hawthorns prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Huckleberry,Dry,Max 1.5m,Partial sun,Sandy,"Black huckleberries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black Maple,Normal,Any,Full sun,Loamy,"Black maples prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Raspberry,Normal,Max 1.5m,Full sun,Sandy,"Black raspberries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black Spruce,Dry,Any,Full sun,Sandy,"Black spruces prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Twinberry,Normal,Max 3m,Partial sun,Sandy,"Black twinberries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black Walnut,Dry,Any,Full sun,Sandy,"Black walnuts prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Black Willow,Moist,Any,Full sun,Sandy,"Black willows require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Black-Eyed Susan,Dry,Max 1.5m,Full sun,Sandy,"Black-eyed Susans are drought-tolerant once established but benefit from regular watering, especially during prolonged dry periods."
Bladdernut,Dry,Any,Partial sun,Sandy,"Bladdernuts prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Blanket Flower,Dry,Max 1.5m,Full sun,Sandy,"Blanket flowers are drought-tolerant once established but benefit from regular watering, especially during prolonged dry periods."
Blue Elderberry,Normal,Any,Full sun,Loamy,"Blue elderberries require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Blue Eyed Grass,Dry,Max 1.5m,Full sun,Sandy,"Blue-eyed grass prefers consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Blue Flag Iris,Moist,Max 1.5m,Full sun,Loamy,"Blue flag irises prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Blue Lobelia,Moist,Max 1.5m,Full sun,Sandy,"Blue lobelias require regular watering, especially during dry spells or periods of drought. Keep the soil consistently moist but not waterlogged."
Blue Lupine,Dry,Max 1.5m,Full sun,Sandy,"Blue lupines prefer well-draining soil and require regular watering, especially during dry spells or periods of drought. Avoid waterlogged conditions."
Blue Vervain,Normal,Max 1.5m,Full sun,Sandy,Blue vervains thrive in moist to wet soil and benefit from regular watering. Ensure the soil stays consistently moist but not waterlogged.
Bog Birch,Moist,Max 3m,Full sun,Sandy,Bog birches prefer consistently moist to wet soil conditions and should be watered regularly to maintain moisture levels.
Bog Laurel,Moist,Max 1.5m,Full sun,Loamy,Bog laurels require consistently moist to wet soil conditions and should be watered regularly to maintain moisture levels.
Bog Rosemary,Moist,Max 1.5m,Full sun,Sandy,Bog rosemary prefers consistently moist to wet soil conditions and should be watered regularly to maintain moisture levels.
Boneset,Moist,Max 1.5m,Full sun,Sandy,"Bonesets prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Bottle Gentian,Normal,Max 1.5m,Full sun,Sandy,"Bottle gentians prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Bracken Fern,Dry,Max 1.5m,Full sun,Sandy,"Bracken ferns prefer consistently moist soil and should be watered deeply and regularly, especially during periods of drought."
Bracted Honeysuckle,Normal,Max 3m,Full sun,Sandy,"Bracted honeysuckles prefer moderately moist soil and should be watered regularly, especially during dry spells or periods of drought."
Braun's Holly Fern,Normal,Max 1.5m,Partial sun,Sandy,"Braun's holly ferns prefer consistently moist soil and should be watered regularly to maintain moisture levels, especially during hot and dry periods."
